id_num,name,id,version,start_date,end_date,change,citation,start_n,end_n,area_sqmi,terr_type,full_name,abbr_name,name_start
19,California,ca_state,2,1959-12-31,2000-12-31,Between 1949 and 1959 (precise date unknown) SAN FRANCISCO gained a small area of the Alameda Naval Air Station when landfill expansion extended westward over the county line between SAN FRANCISCO and ALAMEDA in San Francisco Bay.,"(U.S.G.S., 7.5 Minute Series, Oakland West Quadrangle, "";Edition of 1949""; and "";Edition of 1959"";)",19591231,20001231,158097.000000,State,California,CA,California (1959-12-31)
20,Colorado,co_state,1,1876-08-01,2000-12-31,The state of Colorado was created from Colorado Territory; Colorado Territory eliminated.,"(Van Zandt, 141; U.S. Stat., vol. 18, part 3 [1876], p. 474)",18760801,20001231,104093.000000,State,Colorado,CO,Colorado (1876-08-01)
21,Colorado Territory,co_terr,1,1861-02-28,1876-07-31,"The United States created Colorado Territory from Nebraska, New Mexico, and Utah Territories, and from the former Kansas Territory.","(U.S. Stat., vol. 12, ch. 59[1861]/pp. 172-177; Van Zandt, 141)",18610228,18760731,104093.000000,Territory,Colorado Territory,CO Terr,Colorado Territory (1861-02-28)
22,Connecticut,ct_state,1,1783-09-03,1786-09-13,Connecticut became an independent state on 4 July 1776. The map depicts state boundaries as of 3 September 1783.,(Declaration of Independence),17830903,17860913,4982.00000000,State,Connecticut,CT,Connecticut (1783-09-03)
23,Connecticut,ct_state,2,1786-09-14,1800-04-27,"Connecticut ceded to the United States its claim to lands north and west of Pennsylvania and the Ohio River, except for a tract, lying in the northeast corner of present Ohio, known as the Connecticut Western Reserve.","(Terr. Papers U.S., 2:24 n.62)",17860914,18000427,10307.0000000,State,Connecticut,CT,Connecticut (1786-09-14)
24,Connecticut,ct_state,3,1800-04-28,1804-12-30,"Connecticut ceded the Western Reserve in present Ohio to the United States, and the area was incorporated into the Northwest Territory.","(Terr. Papers U.S., 3:84-86; U.S. Stat., vol. 2, ch. 38 [1800]/pp. 56-57)",18000428,18041230,4982.00000000,State,Connecticut,CT,Connecticut (1800-04-28)
25,Connecticut,ct_state,4,1804-12-31,2000-12-31,"HARTFORD lost part of the town of Southwick (the ""Southwick Jog"") to HAMPSHIRE (Mass.) when the state boundary was adjusted.","(Hooker, 25-26; Van Zandt, 69)",18041231,20001231,4975.00000000,State,Connecticut,CT,Connecticut (1804-12-31)
26,District of Columbia,dc,1,1791-03-30,1846-09-06,The United States created an unnamed district from land ceded by Maryland and Virginia to be the seat of national government.,"(Richardson, 1:102; Van Zandt, 90)",17910330,18460906,100.000000000,District of Columbia,District of Columbia,DC,District of Columbia (1791-03-30)
27,District of Columbia,dc,2,1846-09-07,2000-12-31,"The federal government retroceded to Virginia all of the District of Columbia west of the Potomac River, including all of ALEXANDRIA (now ARLINGTON, Va.). ALEXANDRIA eliminated from the District of Columbia.","(U.S. Stat., vol. 9, ch. 35 [1846]/pp. 35-37, and appendix 3/p. 1000)",18460907,20001231,68.0000000000,District of Columbia,District of Columbia,DC,District of Columbia (1846-09-07)
28,Delaware,de_state,1,1783-09-03,2000-12-31,"The three Lower Counties, of KENT, NEW CASTLE, and SUSSEX became an independent state on 4 July 1776. The name Delaware was formally adopted on 20 September 1776. The map depicts state boundaries as of 3 September 1783.","(Declaration of Independence; Swindler, 2:197)",17830903,20001231,2013.00000000,State,Delaware,DE,Delaware (1783-09-03)
29,Dakota Territory,dk_terr,1,1861-03-02,1863-03-02,"The United States created Dakota Territory from Nebraska Territory and unorganized federal territory; included all of present North Dakota, South Dakota, and parts of present Montana, Nebraska and Wyoming.","(Dak. Terr. Laws 1862, 1st sess., pp. 21-28; U.S. Stat., vol. 12, ch. 86[1861]/pp. 239-244; Van Zandt, 134, 136-137)",18610302,18630302,312931.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1861-03-02)
30,Dakota Territory,dk_terr,2,1863-03-03,1864-05-25,"The United States created Idaho Territory from Dakota, Nebraska, and Washington Territories. Dakota Territory was reduced to the area of present North Dakota and South Dakota, plus a small area of present Nebraska.","(U.S. Stat., vol. 12, ch. 117[1863], sec. 1/p. 808; Van Zandt, 134-136, 156-157)",18630303,18640525,148465.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1863-03-03)
31,Dakota Territory,dk_terr,3,1864-05-26,1868-07-24,Dakota Territory gained from Idaho Territory; included most of present Wyoming and a small area of about two square miles in present Montana that had been part of MADISON (Mont.).,"(U.S. Stat., vol. 13, ch. 95[1864], sec. 18/p. 92; Van Zandt, 134-136, 156-157)",18640526,18680724,234683.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1864-05-26)
32,Dakota Territory,dk_terr,4,1868-07-25,1871-02-08,The small remnant of Dakota Territory in present Montana again became non-county area when Wyoming Territory boundaries were established.,"(U.S. Stat., vol. 15, ch. 235[1868], secs. 1, 17/pp. 178, 183; Van Zandt, 136, 144)",18680725,18710208,148475.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1868-07-25)
33,Dakota Territory,dk_terr,5,1871-02-09,1873-01-07,UNION lost small area to the state of Nebraska when the Missouri River changed course.,"(Neb. Laws 1871, 8th reg. sess., pp. 131-132; U.S. Stat., vol. 16, ch. 64[1870]/p. 93; Van Zandt, 137)",18710209,18730107,148469.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1871-02-09)
34,Dakota Territory,dk_terr,6,1873-01-08,1873-02-16,"TRIPP created by Dakota Territory in present South Dakota from GREGORY, TODD (original, extinct), and Non-County Area (1); TRIPP included a small piece of present Nebraska.","(Dak. Terr. Laws 1872, 10th sess., ch. 19, sec. 4/p. 45)",18730108,18730216,148468.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1873-01-08)
35,Dakota Territory,dk_terr,7,1873-02-17,1882-05-22,Montana Territory gained the small remnant of Dakota Territory that remained between Montana and Wyoming Territories.,"(U.S. Stat., vol. 17, ch. 147[1873]/p. 464; Van Zandt, 136, 145, 150)",18730217,18820522,148459.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1873-02-17)
36,Dakota Territory,dk_terr,8,1882-05-23,1889-11-01,"GREGORY, TRIPP, and TODD (original, extinct) each lost to the state of Nebraska. TODD implicitly gained part of Fort Randall Military Reserve, and the remaining part of the Military Reserve became part of the state of Nebraska.","(Neb. Laws 1882, 17th sess., ch. 4/p. 56; U.S. Stat., vol. 22, ch. 52[1882]/p. 35; Van Zandt, 136-138)",18820523,18891101,147806.000000,Territory,Dakota Territory,DK Terr,Dakota Territory (1882-05-23)
37,Deseret,ds_deseret,1,1849-07-02,1851-04-04,"The General Assembly of the newly proposed state of Deseret met on 2 Jul 1849. The state was to include almost all of Utah and parts of present Ariz., Cal., Colo., Ida., Nev., N.Mex., Ore., and Wyo., but proposal never gained support in U.S. Congress.","(Atlas of Utah, 160-161; Brown, Cannon, and Jackson, 90-91; Swindler, 9:375-381)",18490702,18510404,436387.000000,Other,Deseret,Deseret,Deseret (1849-07-02)
38,Erie Tri. Unorg. FT,er_triangleuft,1,1783-09-03,1792-03-02,"On 29 Oct 1782 New York ceded to the US any claim to territory west of the meridian of the western end of Lake Ontario, thereby defining its western boundary; the Erie Triangle in present Penn. is part of this cession. Map depicts area as of 3 Sep 1783.","(Cappon, Petchenik, and Long, 130; Van Zandt, 75)",17830903,17920302,325.000000000,Unorganized Territory,Erie Triangle Unorganized Federal Territory,Erie Tri UFT,Erie Tri. Unorg. FT (1783-09-03)
39,Florida,fl_state,1,1845-03-03,2000-12-31,"The state of Florida was created from Florida Territory, with boundaries the same as those set in 1822; Florida Territory eliminated.","(Swindler, 2:332; U.S. Stat., vol. 5, ch. 48 [1845], secs. 1, 5/pp. 742-743)",18450303,20001231,56618.0000000,State,Florida,FL,Florida (1845-03-03)
40,Florida Territory,fl_terr,1,1822-03-30,1845-03-02,The United States created the Territory of Florida from the provinces of East and West Florida ceded by Spain to the United States. The territory had the same boundaries as the present state of Florida.,"(Terr. Papers U.S., 22:389-399; U.S. Stat., vol. 3, ch. 13 [1822], sec. 1/p. 654)",18220330,18450302,56618.0000000,Territory,Florida Territory,FL Terr,Florida Territory (1822-03-30)
41,Florida Unorg. FT,fl_uft,1,1819-02-22,1822-03-29,"Spain ceded East Florida and West Florida (i.e., all territory east of the Perdido River) to the United States. Exchange of ratifications was delayed until 21 February 1821.","(Fuller, 307, 323; Parry, 70:1-7; Swindler, 2:309; Van Zandt, 27)",18190222,18220329,56618.0000000,Unorganized Territory,Florida Unorganized Federal Territory,FL UFT,Florida Unorg. FT (1819-02-22)
42,Georgia,ga_state,1,1783-09-03,1798-04-06,Georgia became an independent state on 4 July 1776. The map depicts state boundaries as of 3 September 1783.,(Declaration of Independence),17830903,17980406,152080.000000,State,Georgia,GA,Georgia (1783-09-03)
43,Georgia,ga_state,2,1798-04-07,1802-04-23,"The United States created Mississippi Territory. Georgia continued to claim this area under its colonial charter, and the federal act said that creation of the territory would not impair Georgia's claim.","(U.S. Stat., 1:549-550)",17980407,18020423,116807.000000,State,Georgia,GA,Georgia (1798-04-07)
44,Georgia,ga_state,3,1802-04-24,2000-12-31,Georgia ceded to the United States much of present Mississippi and Alabama. This area became unorganized federal territory and Georgia Western Lands were eliminated.,"(Paullin, 83; Van Zandt, 100; Terr. Papers U.S., 5:142-143)",18020424,20001231,58781.0000000,State,Georgia,GA,Georgia (1802-04-24)
45,Gadsden Purchase,gd_purchase,1,1853-12-30,1854-08-03,Gadsden Purchase settled the boundary dispute between the United States and Mexico and established the international line at its present location.,"(U.S. Stat., vol. 10, pp. 1031-1037; Van Zandt, 11, 29, 162)",18531230,18540803,29440.0000000,Unorganized Territory,Gadsden Purchase,Gads Pur,Gadsden Purchase (1853-12-30)
46,Hawaii Annexation,hi_annexation,1,1898-07-07,1900-06-13,President McKinley signed a joint resolution of Congress annexing Hawaii to the United States.,"(Swindler, 79)",18980707,19000613,6430.00000000,Unorganized Territory,Hawaii Annexation,HI Annex,Hawaii Annexation (1898-07-07)
47,Hawaii,hi_state,1,1959-08-21,2000-12-31,The state of Hawaii was created from Hawaii Territory; Hawaii Territory eliminated.,"(Swindler, 120-133; Van Zandt, 166)",19590821,20001231,6430.00000000,State,Hawaii,HI,Hawaii (1959-08-21)
48,Hawaii Territory,hi_terr,1,1900-06-14,1959-08-20,The United States created the Territory of Hawaii.,"(Swindler, 83-105)",19000614,19590820,6430.00000000,Territory,Hawaii Territory,HI Terr,Hawaii Territory (1900-06-14)
49,Iowa,ia_state,1,1846-12-28,2000-12-31,The state of Iowa was created from Iowa Territory; Iowa Territory eliminated.,"(U.S. Stat., vol. 9, ch. 1[1847]/p. 117)",18461228,20001231,56271.0000000,State,Iowa,IA,Iowa (1846-12-28)
50,Iowa Territory,ia_terr,1,1838-07-03,1846-12-27,The United States created Iowa Territory from Wisconsin Territory.,"(U.S. Stat., vol. 5, ch. 96[1838]/pp. 235-241)",18380703,18461227,194650.000000,Territory,Iowa Territory,IA Terr,Iowa Territory (1838-07-03)
51,Idaho,id_state,1,1890-07-03,2000-12-31,The state of Idaho was created from Idaho Territory; Idaho Territory eliminated.,"(U.S. Stat., vol. 26, ch. 656 [1890]/pp. 215-219; Van Zandt, 156)",18900703,20001231,83569.0000000,State,Idaho,ID,Idaho (1890-07-03)
52,Idaho Territory,id_terr,1,1863-03-03,1864-05-25,"The United States created Idaho Territory from Dakota, Nebraska, and Washington Territories.","(U.S. Stat., vol. 12, ch. 117 [1863]/pp. 808-814; Van Zandt, 156-158)",18630303,18640525,324866.000000,Territory,Idaho Territory,ID Terr,Idaho Territory (1863-03-03)
53,Idaho Territory,id_terr,2,1864-05-26,1868-07-24,The United States created Montana Territory from Idaho Territory with boundaries identical to the state of Montana; Dakota Territory gained most of present Wyoming from Idaho Territory.,"(U.S. Stat., vol. 13, ch. 95 [1864], sec. 1/pp. 85-92 and sec. 18/p. 92; Sanders, Helen F., 1:329; Van Zandt, 134-136, 145, 156-157)",18640526,18680724,91619.0000000,Territory,Idaho Territory,ID Terr,Idaho Territory (1864-05-26)
54,Idaho Territory,id_terr,3,1868-07-25,1890-07-02,"The United States created Wyoming Territory from Dakota, Idaho, and Utah Territories, and from part of ONEIDA.","(Trenholm, 1:83-84; U.S. Stat., vol. 15, ch. 235 [1868], secs. 1, 17/pp. 178, 183; Van Zandt, 136, 144, 156)",18680725,18900702,83569.0000000,Territory,Idaho Territory,ID Terr,Idaho Territory (1868-07-25)
55,Illinois,il_state,1,1818-12-03,2000-12-31,The state of Illinois was created from Illinois Territory; Illinois Territory eliminated.,"(Terr. Papers U.S., 10:803; U.S. Stat., vol. 3, ch. 67 [1818], secs. 1-2, 7/pp. 428-429, 431, and res. 1 [1818]/p. 536)",18181203,20001231,56339.0000000,State,Illinois,IL,Illinois (1818-12-03)
56,Illinois Territory,il_terr,1,1809-03-01,1816-12-10,The United States created Illinois Territory from Indiana Territory.,"(U.S. Stat., vol. 2, ch 13 [1809], sec. 1/pp. 514-515)",18090301,18161210,150049.000000,Territory,Illinois Territory,IL Terr,Illinois Territory (1809-03-01)
57,Illinois Territory,il_terr,2,1816-12-11,1818-12-02,"The state of Indiana created from Illinois, Indiana, and Michigan Territories; EDWARDS exchanged small areas along the Wabash River with the state of Indiana, establishing the boundary between the present states of Illinois and Indiana.","(U.S. Stat., vol. 3, ch. 57 [1816], secs. 1-2/pp. 289-291, and res. 1 [1816]/pp. 399-400; Van Zandt, 115)",18161211,18181202,149980.000000,Territory,Illinois Territory,IL Terr,Illinois Territory (1816-12-11)
58,Indiana,in_state,1,1816-12-11,2000-12-31,The state of Indiana was created from Indiana Territory and small parts of Illinois and Michigan Territories.,"(U.S. Stat., vol. 3, ch. 57 [1816], secs. 1-2/p. 289 and res. 1 [1816]/p. 399; Van Zandt, 115)",18161211,20001231,36182.0000000,State,Indiana,IN,Indiana (1816-12-11)
59,Indiana Territory,in_terr,1,1800-07-04,1803-02-28,"The United States created Indiana Territory from the Northwest Territory; included all of present Illinois and Wisconsin, most of present Indiana, and parts of present Michigan, Minnesota, and Ohio.","(Terr. Papers U.S., 3:86-88; U.S. Stat., vol. 2, ch. 41 [1800]/pp. 58-59)",18000704,18030228,210948.000000,Territory,Indiana Territory,IN Terr,Indiana Territory (1800-07-04)
60,Indiana Territory,in_terr,2,1803-03-01,1805-06-29,The state of Ohio was created from the Northwest Territory and Indiana Territory. Indiana Territory gained remainder of the former Northwest Territory in present Michigan and Indiana; Northwest Territory eliminated.,"(Ind. Terr., Exec. Journal, 114-115; Pence and Armstrong, 218; U.S. Stat., vol. 2, ch. 40 [1802], secs. 1-3/pp. 173-174; Van Zandt, 112)",18030301,18050629,236427.000000,Territory,Indiana Territory,IN Terr,Indiana Territory (1803-03-01)
61,Indiana Territory,in_terr,3,1805-06-30,1809-02-28,The United States created Michigan Territory from Indiana Territory; WAYNE (Ind. Terr.) was effectively eliminated.,"(Terr. Papers U.S., 10:5-7; U.S. Stat., vol. 2, ch. 5 [1805]/pp. 309-310; ""Territorial Records,"" 118-121; Blume, 1:2-4)",18050630,18090228,190865.000000,Territory,Indiana Territory,IN Terr,Indiana Territory (1805-06-30)
62,Indiana Territory,in_terr,4,1809-03-01,1816-12-10,The United States created Illinois Territory from Indiana Territory.,"(Terr. Papers U.S., 16:6-8; U.S. Stat., vol. 2, ch. 13 [1809], sec. 1/p. 514)",18090301,18161210,40816.0000000,Territory,Indiana Territory,IN Terr,Indiana Territory (1809-03-01)
63,Indian Territory,it_indianterr,1,1824-05-26,1828-05-05,Arkansas Territory was reduced in size when the western extent of the territory was moved to a line running forty miles west of the southwest corner of Missouri. Unorganized federal territory in present Oklahoma became known as Indian Territory.,"(U.S. Stat., vol. 4, ch. 155 [1824]/pp. 40-41; Gittinger, 13-17; Morris, Goins, McReynolds, 21; Van Zandt, 119)",18240526,18280505,54786.0000000,Unorganized Territory,Indian Territory,Indian Terr,Indian Territory (1824-05-26)
64,Indian Territory,it_indianterr,2,1828-05-06,1890-05-01,Indian Territory gained from Arkansas Territory when the Treaty of Washington between the United States and Choctaw Indians definitively established the eastern line of the Choctaw Cession and affirmed Choctaw control of the area west of the line.,"(U.S. Stat., vol. 7, p. 311; Gabler, 37-39; Royce, 720-721; Van Zandt, 119)",18280506,18900501,64191.0000000,Unorganized Territory,Indian Territory,Indian Terr,Indian Territory (1828-05-06)
65,Indian Territory,it_indianterr,3,1890-05-02,1893-08-18,The United States created Oklahoma Territory from Indian Territory and unorganized federal territory (the Oklahoma panhandle or Public Land Strip).,"(""Proclamation,"" Weekly Oklahoma State Capital [newspaper], 7 June 1890; U.S. Stat., vol. 26, ch. 182[1890], sec. 4/p. 83; Morris, 116-118; Van Zandt, 139-140)",18900502,18930818,40394.0000000,Unorganized Territory,Indian Territory,Indian Terr,Indian Territory (1890-05-02)
66,Indian Territory,it_indianterr,4,1893-08-19,1907-11-15,"Oklahoma Territory gained a portion of the Indian Territory, designated the Cherokee Outlet, under a treaty between the United States and the Cherokee Nation.","(U.S. Stat., vol. 27, ch. 209[1893]/pp. 640-641 and vol. 28, procl. 5/pp. 1225-1227; Morris, 120-123; Morris, Goins, and McReynolds, map 54; Van Zandt, 140)",18930819,19071115,31075.0000000,Unorganized Territory,Indian Territory,Indian Terr,Indian Territory (1893-08-19)
67,Kansas,ks_state,1,1861-01-29,1950-08-02,The state of Kansas was created from Kansas Territory; Kansas Territory eliminated.,"(U.S. Stat., vol. 12, ch. 20 [1861]/pp. 126-128; Van Zandt, 138-139)",18610129,19500802,82274.0000000,State,Kansas,KS,Kansas (1861-01-29)
68,Kansas,ks_state,2,1950-08-03,2000-12-31,Missouri and Kansas exchanged territory along the Missouri River from 40 degrees north latitude to the Kansas River. The change was made to accommodate shifts in the course of the Missouri River following the 1944 flood.,"(U.S. Stat., vol. 64, ch. 519 [1950]/p. 397; Mo. Laws 1949, S.B. 141, p. 311; Kans. Laws 1949, 53d leg., chs. 196, 510/pp. 293-294, 837-838)",19500803,20001231,82277.0000000,State,Kansas,KS,Kansas (1950-08-03)
69,Kansas Territory,ks_terr,1,1854-05-30,1861-01-28,The United States created Kansas Territory from unorganized federal territory; included all of present Kansas and part of present Colorado.,"(Van Zandt, 138-139)",18540530,18610128,117309.000000,Territory,Kansas Territory,KS Terr,Kansas Territory (1854-05-30)
70,Kentucky,ky_state,1,1792-06-01,1859-11-29,The state of Kentucky was created from the Kentucky District of Virginia.,"(Hening, 11:85; U.S. Stat., 1:189)",17920601,18591129,40411.0000000,State,Kentucky,KY,Kentucky (1792-06-01)
71,Kentucky,ky_state,2,1859-11-30,2000-12-31,ROBERTSON (Tenn.) and SUMNER (Tenn.) gained from SIMPSON (Ky.) when surveyors re-marking the Kentucky-Tennessee boundary acted without authority and shifted the line around two small parcels.,"(Sames, 107, 114)",18591130,20001231,40409.0000000,State,Kentucky,KY,Kentucky (1859-11-30)
72,Dist. of Louisiana,la_district,1,1804-10-01,1805-07-03,"The United States created the District of Louisiana from the part of the Louisiana Purchase north of 33 degrees north latitude, the limit of the present state of Louisiana.","(Terr. Papers U.S., 13: 51-52; U.S. Stat., vol. 2, ch. 38 [1804]/pp. 283-289; Violette, 46-47)",18041001,18050703,910956.000000,Unorganized Territory,District of Louisiana,LA Dist,Dist. of Louisiana (1804-10-01)
73,Louisiana Purchase,la_purchase,1,1803-04-30,1804-09-30,"The United States purchased Louisiana from France, taking formal possession 20 December 1803; boundaries were not clearly defined but unquestionably included the western half of the Mississippi drainage basin.","(Cox, facing 2, 80-100; Parry, 57:27-40; Van Zandt, 23-26)",18030430,18040930,957010.000000,Unorganized Territory,Louisiana Purchase,LA Pur,Louisiana Purchase (1803-04-30)
74,Louisiana,la_state,1,1812-04-30,2000-12-31,The State of Louisiana was created from Orleans Territory; Orleans Territory eliminated.,"(U.S. Stat., vol. 2, ch. 50 [1812]/pp. 701-704; Van Zandt, 107)",18120430,20001231,46740.0000000,State,Louisiana,LA,Louisiana (1812-04-30)
75,Louisiana Territory,la_terr,1,1805-07-04,1812-12-06,District of Louisiana renamed Louisiana Territory and detached from Indiana Territory; the territory included all of present Missouri.,"(U.S. Stat., vol. 2, ch. 31[1805]/pp. 331-332)",18050704,18121206,910956.000000,Territory,Louisiana Territory,LA Terr,Louisiana Territory (1805-07-04)
76,Massachusetts,ma_state,1,1783-09-03,1804-12-30,"Massachusetts, including the area of Maine, became an independent state on 4 July 1776. The map depicts state boundaries as of 3 September 1783.",(Declaration of Independence),17830903,18041230,40682.0000000,State,Massachusetts,MA,Massachusetts (1783-09-03)
77,Massachusetts,ma_state,2,1804-12-31,1820-03-14,"Massachusetts gained part of the town of Southwick (the ""Southwick Jog"") that lay south of the Connecticut boundary and that had been annexed from Massachusetts in 1774.","(Hooker, 25-26; Van Zandt, 69)",18041231,18200314,40689.0000000,State,Massachusetts,MA,Massachusetts (1804-12-31)
78,Massachusetts,ma_state,3,1820-03-15,1855-01-10,Maine was separated from Massachusetts and admitted to the Union.,"(U.S. Stat., vol. 3, ch. 19 [1820]/p. 544)",18200315,18550110,8126.00000000,State,Massachusetts,MA,Massachusetts (1820-03-15)
79,Massachusetts,ma_state,4,1855-01-11,1862-02-28,"New York acquired the southwestern corner of Massachusetts, known as Boston Corner.","(Pratt, 2:223; Van Zandt, 70, 76)",18550111,18620228,8124.00000000,State,Massachusetts,MA,Massachusetts (1855-01-11)
